Rank,Count,n,Percent
1,1454951,1878825,0.7743941026971645
2,1165153,1878825,0.6201498276848563
3,1145260,1878825,0.6095618272058334
4,673071,1878825,0.3582403896052054
5,663711,1878825,0.3532585525527923
6,983437,1878825,0.5234319321916624
7,930540,1878825,0.4952776336274001
8,315148,1878825,0.16773675036259364
9,313274,1878825,0.16673931845701437
10,396729,1878825,0.2111580376032893
11,642275,1878825,0.341849294106689
12,556369,1878825,0.29612603621944567
13,452690,1878825,0.24094314265564915
14,374798,1878825,0.19948531662076033
15,476666,1878825,0.25370430987452264
16,524411,1878825,0.27911646906976434
17,532736,1878825,0.283547429909651
18,407644,1878825,0.21696751959336288
19,314751,1878825,0.16752544808590475
20,416057,1878825,0.22144531821750296
21,514816,1878825,0.2740095538434926
22,283950,1878825,0.1511316913496467
23,271465,1878825,0.1444865807086876
24,399054,1878825,0.21239551315316754
25,288287,1878825,0.15344004896677443
26,252924,1878825,0.13461817891501338
27,239576,1878825,0.1275137386398414
28,162555,1878825,0.08651950021955211
29,253415,1878825,0.13487951246124572
30,145760,1878825,0.07758040264527032
31,114335,1878825,0.06085452343885141
32,229853,1878825,0.1223386957273828
33,348837,1878825,0.18566763801844238
34,255337,1878825,0.13590249224914508
35,144232,1878825,0.07676712839141485
36,188580,1878825,0.10037124266496347
37,310194,1878825,0.16509999600814337
38,304659,1878825,0.16215400582811065
39,205073,1878825,0.10914960147964818
40,72688,1878825,0.03868800979335489
41,183101,1878825,0.09745505834763749
42,118888,1878825,0.06327784652641943
43,46014,1878825,0.024490838689074288
44,97797,1878825,0.052052213484491634
45,129797,1878825,0.06908413503120302
46,52024,1878825,0.02768964645456602
47,119123,1878825,0.0634029247002781
48,71367,1878825,0.03798491078200471
49,56430,1878825,0.03003472915252884
50,174242,1878825,0.09273987731694011
51,88178,1878825,0.04693252431705987
52,89109,1878825,0.047428046784559495
53,194930,1878825,0.10375101459688901
54,74183,1878825,0.03948371987811531
55,75834,1878825,0.040362460580415954
56,44915,1878825,0.02390589863345442
57,17025,1878825,0.009061514510398787
58,127654,1878825,0.06794352853512169
59,73314,1878825,0.03902119675861243
60,70361,1878825,0.03744946974837997
61,16862,1878825,0.008974758160020226
62,37589,1878825,0.020006653094354183
63,118333,1878825,0.06298244913709367
64,40324,1878825,0.021462350139049673
65,49226,1878825,0.026200417814325444
66,27000,1878825,0.014370683805037723
67,126635,1878825,0.06740116828336859
68,56920,1878825,0.03029553045121286
69,57146,1878825,0.03041581839713651
70,56864,1878825,0.030265724588506113
71,43063,1878825,0.0229201761739385
72,22331,1878825,0.011885620001862867
73,87424,1878825,0.046531209665615476
74,48941,1878825,0.026048727263050044
75,74349,1878825,0.03957207297113888
76,22181,1878825,0.011805782869612657
77,58101,1878825,0.030924114805796175
78,85222,1878825,0.045359200564182404
79,23397,1878825,0.01245299588838769
80,62129,1878825,0.03306800793048847
81,12455,1878825,0.006629143214509068
82,9592,1878825,0.005105318483626735
83,14716,1878825,0.007832554921293894
84,41875,1878825,0.02228786608651684
85,32444,1878825,0.017268239458171995
86,32422,1878825,0.017256530012108633
87,48173,1878825,0.025639961145928973
88,46112,1878825,0.024542998948811092
89,15875,1878825,0.008449429829813846
90,34222,1878825,0.018214575599111146
91,22675,1878825,0.012068713158490015
92,17912,1878825,0.009533618085771692
93,24830,1878825,0.013215706625151358
94,27771,1878825,0.0147810466648038
95,10827,1878825,0.005762644205820127
96,21987,1878825,0.01170252684523572
97,27390,1878825,0.014578260348888268
98,16897,1878825,0.00899338682421194
99,42012,1878825,0.022360784000638696
100,21703,1878825,0.011551368541508655
101,25425,1878825,0.013532393916410522
102,21427,1878825,0.01140446821816827
103,24990,1878825,0.013300866232884914
104,14497,1878825,0.007715992708208588
105,19732,1878825,0.010502308623740901
106,16219,1878825,0.008632522986440993
107,25137,1878825,0.01337910662249012
108,4866,1878825,0.0025899165701967985
109,16218,1878825,0.00863199073889266
110,16818,1878825,0.008951339267893496
111,9430,1878825,0.005019094380796508
112,30514,1878825,0.016241001689885966
113,5142,1878825,0.0027368168935371843
114,29423,1878825,0.015660319614652776
115,13784,1878825,0.007336500206245925
116,41033,1878825,0.021839713650818996
117,23110,1878825,0.012300240842015621
118,19036,1878825,0.01013186433009993
119,26152,1878825,0.013919337884049872
120,14128,1878825,0.0075195933628730725
121,38549,1878825,0.020517610740755525
122,30908,1878825,0.01645070722392985
123,23051,1878825,0.012268838236663873
124,14546,1878825,0.00774207283807699
125,21142,1878825,0.011252777666892871
126,13713,1878825,0.007298710630314159
127,5713,1878825,0.0030407302436363153
128,25871,1878825,0.013769776322967813
129,24137,1878825,0.012846859074155389
130,10450,1878825,0.005561986880097933
131,15723,1878825,0.008368528202466967
132,21582,1878825,0.011486966588160154
133,11600,1878825,0.006174071560682874
134,10415,1878825,0.005543358215906218
135,8654,1878825,0.004606070283288757
136,11585,1878825,0.006166087847457853
137,8775,1878825,0.00467047223663726
138,4603,1878825,0.0024499354649847645
139,15017,1878825,0.007992761433342647
140,2697,1878825,0.0014354716378587682
141,10003,1878825,0.005324072225992309
142,4605,1878825,0.0024509999600814338
143,6812,1878825,0.003625670299256184
144,22288,1878825,0.011862733357284473
145,11222,1878825,0.005972881987412346
146,9431,1878825,0.005019626628344843
147,6855,1878825,0.0036485569438345776
148,8240,1878825,0.004385719798278179
149,4538,1878825,0.002415339374343007
150,6830,1878825,0.003635250755126209
151,18612,1878825,0.009906191369606004
152,4636,1878825,0.0024674996340798105
153,8349,1878825,0.004443734781046664
154,9598,1878825,0.005108511968916743
155,9205,1878825,0.004899338682421194
156,11305,1878825,0.0060170585339241285
157,16278,1878825,0.008663925591792743
158,3807,1878825,0.002026266416510319
159,6216,1878825,0.0033084507604486846
160,8679,1878825,0.004619376471997126
161,11301,1878825,0.006014929543730789
162,9649,1878825,0.005135656593881814
163,10174,1878825,0.0054150865567575476
164,10328,1878825,0.005497052679201096
165,5658,1878825,0.003011456628477905
166,3656,1878825,0.0019458970367117747
167,10916,1878825,0.005810014237621918
168,6546,1878825,0.0034840924513991458
169,7668,1878825,0.004081274200630714
170,4249,1878825,0.00226151983287427
171,9070,1878825,0.004827485263396006
172,7160,1878825,0.00381089244607667
173,8801,1878825,0.004684310672893963
174,3508,1878825,0.0018671243995582345
175,5840,1878825,0.003108325682274826
176,4798,1878825,0.002553723736910037
177,7840,1878825,0.004172820778944287
178,4459,1878825,0.002373291818024563
179,2707,1878825,0.0014407941133421154
180,4134,1878825,0.0022003113648157756
181,4381,1878825,0.0023317765092544544
182,2357,1878825,0.0012545074714249598
183,7580,1878825,0.004034436416377257
184,3503,1878825,0.0018644631618165608
185,1015,1878825,0.0005402312615597515
186,2467,1878825,0.00131305470174178
187,4639,1878825,0.0024690963767248146
188,990,1878825,0.0005269250728513832
189,3493,1878825,0.0018591406863332136
190,4856,1878825,0.002584594094713451
191,7717,1878825,0.004107354330499115
192,1459,1878825,0.0007765491730203718
193,7850,1878825,0.004178143254427634
194,6425,1878825,0.0034196904980506432
195,415,1878825,0.00022088273255891315
196,7520,1878825,0.004002501563477173
197,1803,1878825,0.000959642329647519
198,8154,1878825,0.0043399465091213925
199,4630,1878825,0.002464306148789802
200,1467,1878825,0.0007808071534070497
201,1757,1878825,0.0009351589424241214
202,4488,1878825,0.0023887269969262706
203,992,1878825,0.0005279895679480526
204,1776,1878825,0.0009452716458424813
205,736,1878825,0.00039173419557436164
206,326,1878825,0.00017351270075712213
207,489,1878825,0.0002602690511356832
208,34,1878825,1.8096416643380835e-05
209,1683,1878825,0.0008957726238473514
210,4764,1878825,0.002535627320266656
211,38,1878825,2.022540683671976e-05
212,1350,1878825,0.0007185341902518861
213,2355,1878825,0.0012534429763282904
214,4023,1878825,0.0021412318869506205
215,4792,1878825,0.0025505302516200283
216,3599,1878825,0.001915558926456695
217,5284,1878825,0.0028123960454007157
218,2777,1878825,0.0014780514417255465
219,2215,1878825,0.001178928319561428
220,593,1878825,0.0003156227961624952
221,3852,1878825,0.0020502175561853816
222,431,1878825,0.00022939869333226884
223,184,1878825,9.793354889359041e-05
224,1437,1878825,0.0007648397269570077
225,1959,1878825,0.001042672947187737
226,802,1878825,0.0004268625337644538
227,60,1878825,3.193485290008383e-05
228,113,1878825,6.014397296182454e-05
229,166,1878825,8.835309302356526e-05
230,1410,1878825,0.00075046904315197
231,3151,1878825,0.0016771120248027357
232,3138,1878825,0.0016701928066743842
233,3373,1878825,0.0017952709805330459
234,1427,1878825,0.0007595172514736604
235,1969,1878825,0.0010479954226710842
236,25,1878825,1.3306188708368262e-05
237,3536,1878825,0.001882027330911607
238,1048,1878825,0.0005577954306547976
239,175,1878825,9.314332095857783e-05
240,35,1878825,1.8628664191715565e-05
241,1980,1878825,0.0010538501457027663
242,2314,1878825,0.0012316208268465664
243,1792,1878825,0.000953787606615837
244,1263,1878825,0.0006722286535467646
245,952,1878825,0.0005066996660146634
246,1471,1878825,0.0007829361436003886
247,239,1878825,0.00012720716405200058
248,123,1878825,6.546644844517185e-05
249,60,1878825,3.193485290008383e-05
250,2569,1878825,0.0013673439516719225
251,1381,1878825,0.0007350338642502628
252,204,1878825,0.00010857849986028502
253,59,1878825,3.14026053517491e-05
254,189,1878825,0.00010059478663526407
255,2914,1878825,0.0015509693558474046
256,162,1878825,8.622410283022634e-05
257,72,1878825,3.83218234801006e-05
258,636,1878825,0.0003385094407408886
259,117,1878825,6.227296315516347e-05
260,445,1878825,0.00023685015900895508
261,2258,1878825,0.0012018149641398214
262,45,1878825,2.3951139675062872e-05
263,161,1878825,8.56918552818916e-05
264,1346,1878825,0.0007164052000585472
265,295,1878825,0.00015701302675874548
266,52,1878825,2.7676872513405984e-05
267,368,1878825,0.00019586709778718082
268,464,1878825,0.00024696286242731493
269,239,1878825,0.00012720716405200058
270,54,1878825,2.8741367610075445e-05
271,389,1878825,0.00020704429630221015
272,458,1878825,0.00024376937713730656
273,540,1878825,0.00028741367610075446
274,69,1878825,3.67250808350964e-05
275,22,1878825,1.170944606336407e-05
276,12,1878825,6.386970580016766e-06
277,339,1878825,0.00018043191888547365
278,170,1878825,9.048208321690418e-05
279,28,1878825,1.4902931353372453e-05
280,64,1878825,3.406384309342275e-05
281,272,1878825,0.00014477133314704668
282,288,1878825,0.0001532872939204024
283,14,1878825,7.4514656766862264e-06
284,278,1878825,0.00014796481843705507
285,335,1878825,0.00017830292869213472
286,104,1878825,5.535374502681197e-05
287,53,1878825,2.8209120061740715e-05
288,127,1878825,6.759543863851077e-05
289,32,1878825,1.7031921546711374e-05
290,107,1878825,5.695048767181616e-05
291,72,1878825,3.83218234801006e-05
292,39,1878825,2.075765438505449e-05
293,206,1878825,0.00010964299495695448
294,16,1878825,8.515960773355687e-06
295,4,1878825,2.1289901933389218e-06
296,96,1878825,5.1095764640134126e-05
297,78,1878825,4.151530877010898e-05
298,114,1878825,6.067622051015927e-05
299,18,1878825,9.58045587002515e-06
300,9,1878825,4.790227935012575e-06
301,61,1878825,3.246710044841856e-05
302,23,1878825,1.2241693611698801e-05
303,11,1878825,5.854723031682035e-06
304,28,1878825,1.4902931353372453e-05
305,11,1878825,5.854723031682035e-06
306,113,1878825,6.014397296182454e-05
307,117,1878825,6.227296315516347e-05
308,24,1878825,1.2773941160033532e-05
309,65,1878825,3.459609064175748e-05
310,94,1878825,5.0031269543464665e-05
311,137,1878825,7.291791412185808e-05
312,631,1878825,0.00033584820299921496
313,38,1878825,2.022540683671976e-05
314,62,1878825,3.299934799675329e-05
315,18,1878825,9.58045587002515e-06
316,9,1878825,4.790227935012575e-06
317,114,1878825,6.067622051015927e-05
318,40,1878825,2.128990193338922e-05
319,76,1878825,4.045081367343952e-05
320,215,1878825,0.00011443322289196706
321,7,1878825,3.7257328383431132e-06
322,114,1878825,6.067622051015927e-05
323,47,1878825,2.5015634771732333e-05
324,3,1878825,1.5967426450041914e-06
325,11,1878825,5.854723031682035e-06
326,2,1878825,1.0644950966694609e-06
327,26,1878825,1.3838436256702992e-05
328,7,1878825,3.7257328383431132e-06
329,4,1878825,2.1289901933389218e-06
330,5,1878825,2.6612377416736525e-06
331,6,1878825,3.193485290008383e-06
332,52,1878825,2.7676872513405984e-05
333,50,1878825,2.6612377416736524e-05
334,26,1878825,1.3838436256702992e-05
335,3,1878825,1.5967426450041914e-06
336,3,1878825,1.5967426450041914e-06
337,264,1878825,0.00014051335276036884
338,16,1878825,8.515960773355687e-06
339,19,1878825,1.011270341835988e-05
340,3,1878825,1.5967426450041914e-06
341,67,1878825,3.566058573842694e-05
342,20,1878825,1.064495096669461e-05
343,65,1878825,3.459609064175748e-05
344,4,1878825,2.1289901933389218e-06
345,1,1878825,5.322475483347304e-07
346,8,1878825,4.2579803866778436e-06
347,13,1878825,6.919218128351496e-06
348,38,1878825,2.022540683671976e-05
349,4,1878825,2.1289901933389218e-06
350,16,1878825,8.515960773355687e-06
351,8,1878825,4.2579803866778436e-06
352,10,1878825,5.322475483347305e-06
353,2,1878825,1.0644950966694609e-06
354,42,1878825,2.235439703005868e-05
355,19,1878825,1.011270341835988e-05
356,9,1878825,4.790227935012575e-06
357,18,1878825,9.58045587002515e-06
358,137,1878825,7.291791412185808e-05
359,45,1878825,2.3951139675062872e-05
360,53,1878825,2.8209120061740715e-05
361,10,1878825,5.322475483347305e-06
362,26,1878825,1.3838436256702992e-05
363,84,1878825,4.470879406011736e-05
364,49,1878825,2.6080129868401793e-05
365,56,1878825,2.9805862706744906e-05
366,31,1878825,1.6499673998376644e-05
367,13,1878825,6.919218128351496e-06
368,16,1878825,8.515960773355687e-06
369,16,1878825,8.515960773355687e-06
370,24,1878825,1.2773941160033532e-05
371,32,1878825,1.7031921546711374e-05
372,34,1878825,1.8096416643380835e-05
373,18,1878825,9.58045587002515e-06
374,8,1878825,4.2579803866778436e-06
375,338,1878825,0.0001798996713371389
376,20,1878825,1.064495096669461e-05
377,4,1878825,2.1289901933389218e-06
378,24,1878825,1.2773941160033532e-05
379,28,1878825,1.4902931353372453e-05
380,42,1878825,2.235439703005868e-05
381,30,1878825,1.5967426450041914e-05
382,7,1878825,3.7257328383431132e-06
383,4,1878825,2.1289901933389218e-06
384,10,1878825,5.322475483347305e-06
385,11,1878825,5.854723031682035e-06
386,1,1878825,5.322475483347304e-07
387,2,1878825,1.0644950966694609e-06
388,51,1878825,2.7144624965071254e-05
389,3,1878825,1.5967426450041914e-06
390,114,1878825,6.067622051015927e-05
391,37,1878825,1.969315928838503e-05
392,20,1878825,1.064495096669461e-05
393,15,1878825,7.983713225020957e-06
394,2,1878825,1.0644950966694609e-06
395,23,1878825,1.2241693611698801e-05
396,4,1878825,2.1289901933389218e-06
397,26,1878825,1.3838436256702992e-05
398,17,1878825,9.048208321690417e-06
399,26,1878825,1.3838436256702992e-05
400,26,1878825,1.3838436256702992e-05
401,13,1878825,6.919218128351496e-06
402,159,1878825,8.462736018522214e-05
403,50,1878825,2.6612377416736524e-05
